,,,,,,,,,Strength of Schedule,,,NCSOS
Rk,Team,Conf,W - L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
1,Florida 3,SEC,33-6,28.28,117.9,89.7,66.9,-0.011,8.35,107.7,99.3,-8.46
2,Duke 1,ACC,32-4,27.54,119.4,91.8,69.8,0.047,10.51,108.1,97.6,6.81
3,Texas 2,B12,30-7,25.79,117.5,91.7,63.9,0.039,7.79,106.1,98.3,-0.02
4,Connecticut 1,BE,30-4,25.44,117.8,92.3,68.7,0.077,8.98,107.4,98.4,-3.8
5,Villanova 1,BE,28-5,24.59,116.3,91.7,65.6,0.08,10.79,108.4,97.6,3.17
6,Memphis 1,CUSA,33-4,23.54,113.2,89.6,70.8,-0.007,3.89,103.9,100,7.82
7,UCLA 2,P10,32-7,23.4,112.7,89.3,61.6,0.02,8.3,107.4,99.1,1.6
8,Kansas 4,B12,25-8,23.22,110.4,87.2,67.7,-0.043,6.03,106,99.9,-1.11
9,Illinois 4,B10,26-7,23.2,114.5,91.3,62.1,-0.019,6.77,106.4,99.6,-4.52
10,North Carolina 3,ACC,23-8,22.16,115.9,93.7,70.2,-0.01,9.1,107.6,98.6,-0.83
11,LSU 4,SEC,27-9,22,109.8,87.8,67.5,0.008,10.68,108.3,97.6,1.75
12,Pittsburgh 5,BE,25-8,21.72,112.4,90.6,64.6,-0.031,7.81,108,100.1,-6.92
13,Georgetown 7,BE,23-10,21.29,116.5,95.2,57.8,-0.026,9.58,108.1,98.5,-1.83
14,Ohio St. 2,B10,26-6,20.68,113,92.3,65.2,0.028,6.74,107,100.3,-3.33
15,Washington 5,P10,26-7,20.09,114.8,94.7,71.6,0.007,5.21,105.5,100.3,-7.56
16,West Virginia 6,BE,22-11,19.49,116.1,96.6,62.5,-0.046,10.37,108.4,98,-0.49
17,Tennessee 2,SEC,22-8,19.44,116.6,97.2,71.1,0.012,9.44,108,98.5,-0.74
18,Boston College 4,ACC,28-8,18.65,117.8,99.2,61.5,0.024,7.43,107.1,99.7,-5.69
19,South Carolina 3,SEC,23-15,18.54,114.9,96.4,59.2,-0.057,10.3,108.4,98.1,0.22
20,Arkansas 8,SEC,22-10,18.47,112.2,93.8,66,-0.062,6.35,106,99.6,-4.78
21,Iowa 3,B10,25-9,18.22,103.8,85.6,64.7,0.046,7.86,107.7,99.9,-0.77
22,George Mason 11,CAA,27-8,18.16,109.7,91.5,62.6,0.017,4.11,105.3,101.2,2.16
23,Arizona 8,P10,20-13,17.23,112.2,95,67.7,-0.037,10.53,108,97.5,9.27
24,Kentucky 8,SEC,22-13,17.13,114.4,97.3,64.1,-0.001,10.02,108.2,98.2,3.02
25,Bradley 13,MVC,22-11,16.5,107.5,91,69.3,-0.019,6.94,105.4,98.5,-2.22
26,Wichita St. 7,MVC,26-9,16.06,111.8,95.7,62.6,0.032,6.03,104.7,98.7,0.35
27,Michigan St. 6,B10,22-12,16.02,116.3,100.3,64.2,0.004,8.89,106.4,97.5,-1.03
28,Michigan 1,B10,22-11,15.98,113.1,97.2,67,0.012,7.94,106.7,98.8,-0.97
29,Notre Dame 5,BE,16-14,15.97,117.3,101.4,64.2,-0.145,7.75,108.3,100.5,-4.54
30,N.C. State 10,ACC,22-10,15.92,112.5,96.6,64.4,0.013,6.74,107.1,100.3,-7.99
31,Texas A&M 12,B12,22-9,15.9,106.7,90.8,63,-0.008,4.22,104.8,100.6,-12.2
32,Northern Iowa 10,MVC,23-10,15.84,109,93.1,59.6,-0.025,6.18,104.4,98.2,0.24
33,Gonzaga 3,WCC,29-4,15.64,119.1,103.5,66.3,0.036,4.38,104.4,100,7.98
34,Indiana 6,B10,19-12,15.53,110,94.4,66.5,-0.012,9.77,108.8,99,2.17
35,Missouri St. 2,MVC,22-9,15.52,111,95.5,68.6,0.039,6.14,104.8,98.7,1.8
36,Marquette 7,BE,20-11,15.36,112.8,97.4,68.1,-0.012,8.82,108.6,99.8,-1.71
37,Nevada 5,WAC,27-6,15.22,110,94.8,65.8,0.024,1.9,103.6,101.7,3.89
38,Florida St. 2,ACC,20-10,15.01,110.1,95.1,68.3,-0.033,5.43,106,100.6,-11.7
39,Wisconsin 9,B10,19-12,14.94,111.5,96.6,65.2,-0.024,7.96,106.6,98.6,0.91
40,Air Force 13,MWC,24-7,14.87,113.2,98.3,54.7,-0.001,0.57,102.8,102.2,-6.63
41,Saint Joseph's 2,A10,19-14,14.84,109.8,95,61.9,-0.064,7.64,106.7,99.1,12.4
42,UNC Wilmington 9,CAA,25-8,14.77,107.2,92.4,62.6,-0.006,1.59,103.6,102,0.11
43,George Washington 8,A10,27-3,14.67,110.3,95.6,71.2,0.106,-1.23,101.1,102.4,-15.01
44,Cincinnati 1,BE,21-13,14.27,110.9,96.6,68.5,-0.001,8.99,107,98,2.61
45,Oklahoma 6,B12,20-9,13.99,113,99,62.4,0.049,6.16,105.5,99.3,-0.61
46,Louisville 1,BE,21-13,13.98,108.2,94.2,64.8,-0.041,6.11,106.8,100.7,-8.19
47,California 7,P10,20-11,13.68,110.5,96.8,61.9,0.021,7.59,106.8,99.3,-0.77
48,Southern Illinois 11,MVC,22-11,13.6,102.9,89.3,60.7,0.032,5.81,103.6,97.8,0.44
49,Vanderbilt 4,SEC,17-13,13.58,114.7,101.2,61.9,-0.03,8.56,108.1,99.5,-2.76
50,Syracuse 5,BE,23-12,13.15,110,96.8,68.3,0.077,8.71,107.5,98.8,-3.79
51,Creighton 2,MVC,20-10,13.11,107.2,94.1,62.7,0,5.24,103.7,98.5,-1.08
52,San Diego St. 11,MWC,24-9,12.78,112.8,100,66.1,-0.001,2.27,103.7,101.5,-2.2
53,Oklahoma St. 6,B12,17-16,12.76,107.9,95.2,64.7,-0.096,6.5,106.6,100.1,-1.32
54,Xavier 14,A10,21-11,12.73,110.9,98.2,65.3,-0.065,1.91,103.6,101.6,-3.38
55,Miami FL 3,ACC,18-16,12.71,111.2,98.5,61,-0.039,9.46,108,98.5,-3.68
56,UAB 9,CUSA,24-7,12.65,109.1,96.5,68.5,0.058,1.51,101.8,100.3,0.98
57,Maryland 1,ACC,19-13,12.63,107.6,95,72.4,-0.022,8.02,107.8,99.8,-2.26
58,Bucknell 9,Pat,27-5,12.56,105.7,93.1,61.8,0.092,-3.17,100.2,103.4,7.18
59,Clemson 4,ACC,19-13,12.51,105.9,93.4,68.6,-0.049,6.35,106.2,99.8,-4.81
60,Alabama 10,SEC,18-13,12.48,112.8,100.3,63.4,0.005,9.21,107.7,98.4,1.6
61,Butler 8,Horz,20-13,12,114.9,102.9,58.3,-0.072,1.16,103,101.9,3.14
62,Milwaukee 11,Horz,22-9,11.86,108.3,96.5,67.7,0.017,1.54,104.9,103.4,4.95
63,Hofstra 3,CAA,26-7,11.72,111.3,99.6,66.2,0.097,2.1,102.7,100.6,-3.98
64,Temple 7,A10,17-15,11.38,109.1,97.7,59.9,-0.051,6.84,106.2,99.3,9.95
65,Iona 13,MAAC,23-8,11.33,109.7,98.4,69.6,0.024,0.66,106,105.3,3.83
66,Oregon,P10,15-18,11.31,111.9,100.6,63.6,-0.144,7.33,106.1,98.7,-1.3
67,Old Dominion 5,CAA,24-10,11.15,106.9,95.7,65,0.056,2.16,104.2,102.1,-0.03
68,Pacific 13,BW,24-8,10.87,109.8,99,62.8,0.01,-1.99,102.7,104.7,0.54
69,Utah St. 12,WAC,23-9,10.86,113.4,102.6,60.9,0.026,1.59,102.8,101.2,-2.41
70,Kent St. 12,MAC,25-9,10.54,108.3,97.8,65.7,0.017,0.67,103.2,102.5,-1.52
71,Rutgers 8,BE,19-14,10.41,109.5,99.1,64,-0.002,6.82,106,99.2,-3.96
72,Colorado 4,B12,20-10,10.27,109.2,99,69.9,0.049,4.24,104.4,100.2,-5.98
73,Winthrop 15,BSth,23-8,10.27,104.4,94.2,64,-0.027,-5.29,102.1,107.4,8.15
74,Virginia Tech,ACC,14-16,10.25,108.2,97.9,63.3,-0.149,5.61,105.3,99.7,-9.6
75,Houston 3,CUSA,21-10,10.21,103.5,93.3,67.5,-0.014,1.61,102.6,101,2.22
76,Iowa St.,B12,16-14,10.03,111.2,101.2,69.8,-0.052,6.75,105.6,98.8,1.77
77,Kansas St.,B12,15-13,9.59,105.9,96.3,63.1,-0.097,3.77,105.2,101.4,-6.05
78,Stanford 7,P10,16-14,9.56,105.9,96.4,64.3,0.006,7.73,107.1,99.4,-1.23
79,Providence,BE,12-15,9.47,112.2,102.7,68.7,-0.058,9.18,108.4,99.2,1.71
80,Wake Forest 5,ACC,17-17,9.46,110.4,100.9,66.9,-0.033,8.32,107.4,99.1,-4.51
81,Virginia 8,ACC,15-15,9.41,106.1,96.7,63.8,-0.015,8.79,108.2,99.4,-4.05
82,Minnesota 4,B10,16-15,9.34,104.4,95.1,64.2,-0.016,7,106.1,99.1,-5.16
83,Akron 8,MAC,23-10,9.28,111.1,101.8,64.1,0.037,0.82,102.5,101.7,1.96
84,South Alabama 14,SB,24-7,9.28,109.1,99.9,65.7,0.056,-2.51,100.8,103.3,-3.47
85,UTEP 9,CUSA,21-10,9.13,103.7,94.6,62.1,-0.024,-0.23,101.4,101.6,-0.41
86,Seton Hall 10,BE,18-12,9.06,106.5,97.4,65.7,0.086,6.93,106,99.1,-1.81
87,Montana 12,BSky,24-7,8.95,111.6,102.7,66.2,0.056,-0.62,103.6,104.2,-0.71
88,UNLV,MWC,17-13,8.57,105.3,96.8,66.5,-0.031,3.83,104.9,101.1,2.31
89,Murray St. 14,OVC,24-7,8.56,104.5,96,63.2,0.01,-5.31,102.3,107.6,4.32
90,DePaul,BE,12-15,8.42,110.2,101.8,61.4,0.004,10.47,108.3,97.8,7.26
91,BYU 6,MWC,20-9,7.87,110.1,102.2,70.7,0.074,2.21,103.5,101.3,-2.84
92,Western Kentucky 6,SB,23-8,7.78,111.3,103.5,68.5,0.08,-0.72,102.2,103,1.81
93,Northwestern St. 14,Slnd,26-8,7.51,106.6,99.1,67.6,0.016,-1.45,102.2,103.6,10.25
94,Charlotte 9,A10,19-13,7.45,107.5,100,65.5,-0.004,2.69,103.9,101.2,0.09
95,La Salle,A10,18-10,7.44,107.3,99.8,64.3,0.036,0.34,102.8,102.5,-3.57
96,Louisiana Tech 5,WAC,20-13,7.43,101.1,93.6,64.8,0.029,3.38,104,100.6,2.94
97,Penn 15,Ivy,20-9,7.3,101.8,94.5,64.3,-0.03,-5.06,100,105,1.85
98,Hawaii,WAC,17-11,7.1,106.9,99.8,62.4,-0.024,1.78,102.8,101,0.46
99,Washington St.,P10,11-17,7.1,97.4,90.3,60.1,-0.11,7.35,107.3,100,-1.88
100,Drexel,CAA,15-16,6.95,100.3,93.4,62.5,-0.112,1.99,103.3,101.4,2.99
101,Miami OH 7,MAC,18-11,6.89,104.3,97.5,60,0.019,2.21,104.2,102,6.8
102,USC,P10,17-13,6.74,105,98.3,66.6,0.02,5.63,105.1,99.4,-6.85
103,Georgia Tech,ACC,11-17,6.66,104.8,98.1,68.4,-0.097,7.75,108,100.2,-6.34
104,VCU,CAA,19-10,6.63,107.2,100.5,62.1,0.005,-1.21,101.8,103,-4.72
105,Massachusetts,A10,13-15,6.48,101.1,94.6,65.5,-0.069,4.44,105.4,100.9,4.85
106,Saint Mary's,WCC,17-12,6.46,105.8,99.3,64.2,-0.032,1.65,103.8,102.2,2.54
107,Georgia,SEC,15-15,6.33,103.4,97,68.5,0.025,8.34,108.3,100,-3.35
108,Marist,MAAC,19-10,6.08,113.1,107,64.9,-0.015,-1.06,104.1,105.2,-1.86
109,Ohio,MAC,19-11,6.01,106.4,100.4,64.3,0.02,0.19,103.6,103.4,0.81
110,Northeastern,CAA,19-11,5.9,107,101.1,69.1,0.039,0.53,103,102.4,-0.25
111,Nebraska 6,B12,19-14,5.84,102.9,97.1,64.6,0.057,3.98,104.5,100.5,-9.69
112,Oral Roberts 16,MCon,21-12,5.7,107.1,101.4,66.9,-0.035,-3.45,102.8,106.2,6.88
113,Auburn,SEC,12-16,5.58,104.2,98.6,65.2,-0.018,8.07,107.3,99.2,-1.86
114,Mississippi St.,SEC,15-15,5.53,102.9,97.3,66.7,0.027,5.84,106.4,100.6,-4.37
115,New Mexico,MWC,17-13,5.3,105.4,100.1,60.2,-0.003,1.91,103.9,102,-2.75
116,Penn St. 7,B10,15-15,5.27,109.5,104.2,63.8,0.015,5.25,104.8,99.6,-11.27
117,St. John's,BE,12-15,5.27,97.6,92.3,62.5,-0.038,6.47,106.9,100.5,-7.08
118,Toledo,MAC,20-11,5.17,101.4,96.2,67.5,-0.023,-3.01,101.8,104.8,-6.87
119,San Diego,WCC,18-12,5.14,106.9,101.7,69.6,-0.034,-0.41,103.2,103.6,-3.39
