,,,,,,,,,Strength of Schedule,,,NCSOS
Rk,Team,Conf,W - L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
1,North Carolina 1,ACC,31-7,31.37,121,89.6,72.4,-0.046,10.95,111,100.1,3.1
2,Florida 1,SEC,35-5,30.81,122.8,92,65.8,0.028,8.73,109.1,100.3,-6.87
3,Ohio St. 1,B10,35-4,29.33,121,91.7,64.9,0.057,9.82,109,99.2,-1.71
4,Georgetown 2,BE,30-7,28.48,122,93.5,59.4,0.006,10.41,109.7,99.3,-1.02
5,Kansas 1,B12,33-5,27.81,115.3,87.5,68.7,0.031,6.86,108.1,101.2,-0.93
6,UCLA 2,P10,30-6,27.15,115.4,88.3,63.7,0.019,11.08,111,99.9,5.93
7,Texas A&M 3,B12,27-7,26.97,119.3,92.3,63.7,-0.047,5.38,106.7,101.4,-5.98
8,Wisconsin 2,B10,30-6,25.45,115.6,90.1,63.8,0.034,7.78,108.1,100.3,-1.57
9,Memphis 2,CUSA,33-4,24.81,115.4,90.6,68.4,0.03,2.93,105.3,102.4,3.41
10,Duke 6,ACC,22-11,23.3,113.2,89.9,64.5,-0.074,11.3,110.7,99.4,3.88
11,Pittsburgh 3,BE,29-8,22.9,118.1,95.2,62.2,0.033,9.54,109.6,100.1,0.72
12,Maryland 4,ACC,25-9,22.42,112.4,90,71.4,-0.027,8.48,108.9,100.4,-3.07
13,Kentucky 8,SEC,22-12,21.73,117,95.3,65.8,-0.029,13.23,111,97.8,8.21
14,Indiana 7,B10,21-11,21.58,115.4,93.8,64.9,-0.058,9.96,108.5,98.5,1.51
15,Butler 5,Horz,29-7,21.45,118,96.5,58.1,0.016,4.77,106.6,101.8,6.61
16,Southern Illinois 4,MVC,29-7,21.03,109.8,88.8,61,0.017,10.19,110.2,100,7.3
17,Michigan St. 9,B10,23-12,20.97,112.8,91.8,60.3,-0.036,9.07,109.2,100.2,-1.63
18,Oregon 3,P10,29-8,20.76,118.3,97.6,66,0.031,7.19,108,100.8,-9.09
19,Louisville 6,BE,24-10,20.35,113.5,93.1,64.2,-0.046,7.29,107.9,100.6,-3.61
20,Air Force 1,MWC,26-9,20.2,116.5,96.3,57.5,-0.021,3.24,106.5,103.2,-1.91
21,Villanova 9,BE,22-11,20.11,113.4,93.3,65.8,-0.036,11.02,110.5,99.5,2.82
22,Notre Dame 6,BE,24-8,20.02,118.1,98.1,70.7,-0.018,4.03,105.9,101.9,-13.12
23,Georgia Tech 10,ACC,20-12,19.61,116.9,97.3,67.2,-0.067,9.63,109.5,99.9,-3.11
24,Arizona 8,P10,20-11,19.43,119.5,100.1,68.3,-0.009,12.2,110.4,98.2,10.23
25,Texas 4,B12,25-10,19.24,119.5,100.3,67.6,-0.008,7.56,108.1,100.6,-2
26,Mississippi St. 1,SEC,21-14,19.03,113.5,94.5,69.6,-0.114,8.6,109.3,100.6,-1.61
27,Washington St. 3,P10,26-8,18.87,111.7,92.8,60,0.004,6.79,107.6,100.9,-4.96
28,Creighton 10,MVC,22-11,18.53,113.8,95.3,62.7,-0.023,8.84,108.3,99.4,4.1
29,Clemson 1,ACC,25-11,18.46,112.3,93.9,66.4,-0.009,8.85,109.8,100.9,-3.81
30,Purdue 9,B10,22-12,18.31,110.7,92.4,66.5,0.002,9.37,109.8,100.4,1.08
31,Tennessee 5,SEC,24-11,18.29,115.9,97.6,71.3,0.035,10.57,110.3,99.8,1.81
32,Xavier 9,A10,25-9,18.13,117.3,99.2,66.2,-0.047,2.83,106.5,103.6,3.4
33,West Virginia 1,BE,27-9,18.06,116.5,98.5,63.2,0.021,5.32,107,101.7,-6.55
34,Florida St. 2,ACC,22-13,17.79,116.2,98.4,66.2,-0.007,9.72,109.7,100,-3.3
35,Missouri St. 3,MVC,22-11,17.51,113.4,95.9,67.7,-0.029,7.7,108.3,100.6,1.37
36,Illinois 12,B10,23-12,17.5,107.3,89.8,62,-0.017,8.06,108.4,100.4,-0.2
37,Virginia Tech 5,ACC,22-12,17.38,112.4,95,63.7,-0.004,9.85,109.9,100.1,0.79
38,Marquette 8,BE,24-10,17.18,111.8,94.6,67.6,0.009,7.59,108.3,100.7,-4.27
39,USC 5,P10,25-12,16.86,111,94.2,67.1,0.016,8.26,108.3,100,-6.62
40,Syracuse 2,BE,24-11,16.84,112,95.2,70.4,-0.066,5.78,106.3,100.5,-3.8
41,UNLV 7,MWC,30-7,16.83,112.6,95.8,65.2,0.098,5.61,109.1,103.5,2.29
42,Arkansas 12,SEC,21-14,16.62,110.6,93.9,66.1,-0.021,10.1,110.3,100.2,1.28
43,Vanderbilt 6,SEC,22-12,16.23,115.7,99.4,66.6,0.008,9.34,109.5,100.2,-2.74
44,Boston College 7,ACC,21-12,16.18,117.3,101.1,64.3,0.026,10.36,110.7,100.4,-2.41
45,Akron,MAC,26-7,16.15,115.2,99.1,63.8,-0.056,-1.65,102.8,104.5,-4.55
46,BYU 8,MWC,25-9,16.11,116.7,100.6,67.6,0.001,4.24,106.8,102.5,-0.3
