									Strength of Schedule			NCSOS
Rk	Team	Conf	W - L	AdjEM	AdjO	AdjD	AdjT	Luck	AdjEM	OppO	OppD	AdjEM
1	Kansas 1	B12	37-3	35.21	120.9	85.7	66.8	0.012	9.57	109.2	99.6	-1.41
2	Memphis 1	CUSA	38-2	31.51	118	86.5	68.1	0.012	5.83	107	101.1	5.45
3	North Carolina 1	ACC	36-3	30.22	122.1	91.9	72.5	0.05	10.18	108	97.8	1.5
4	UCLA 1	P10	35-4	29.94	118	88.1	64.1	0.047	10.03	109.3	99.3	-1.63
5	Wisconsin 3	B10	31-5	26.68	113.5	86.8	61.1	0.043	7.35	107.1	99.8	-0.19
6	Duke 2	ACC	28-6	26.4	116.3	89.9	71.5	-0.006	10.06	109.1	99	3.36
7	Georgetown 2	BE	28-6	25.56	115.2	89.7	60.5	0.029	8.48	108.2	99.8	-2.72
8	Louisville 3	BE	27-9	25.41	113.1	87.7	65.3	-0.057	9.34	108.4	99	0.79
9	Texas 2	B12	31-7	25.09	120.6	95.5	63.9	0.044	10.37	108.4	98	0.04
10	Washington St. 4	P10	26-9	24.32	115.1	90.8	58.3	-0.004	8.99	109	100	-6.51
11	Davidson 10	SC	29-7	23.61	117	93.4	66.2	-0.036	3.36	105.2	101.8	14.93
12	Stanford 3	P10	28-8	22.75	113.6	90.9	63.4	0.04	9.32	109.1	99.7	-6.32
13	Tennessee 2	SEC	31-5	22.17	116.2	94	70.7	0.11	9.58	109.4	99.8	7.64
14	Marquette 6	BE	25-10	22.16	115.3	93.1	66.6	-0.027	8.62	107.9	99.3	-6.37
15	Xavier 3	A10	30-7	22.05	117.3	95.2	63.8	0.054	6.94	108.1	101.2	3.5
16	Clemson 5	ACC	24-10	22.03	114	91.9	68	-0.044	9.53	109.3	99.8	0.31
17	Drake 5	MVC	28-5	21.46	120	98.5	62.9	0.011	4.89	105.5	100.6	0.11
18	West Virginia 7	BE	26-11	21.29	114.6	93.3	63.8	-0.019	9	108.5	99.5	-1.98
19	Michigan St. 5	B10	27-9	21.15	115.8	94.7	63.3	0.032	8.71	108.2	99.5	0.59
20	Butler 7	Horz	30-4	19.97	116.2	96.2	59.5	0.002	2.79	104.3	101.5	5.43
21	Texas A&M 9	B12	25-11	19.93	112.3	92.3	61.8	0.004	8.28	107.4	99.1	-5.13
22	Pittsburgh 4	BE	27-10	19.91	116.5	96.6	63.9	0.027	9.52	107.8	98.3	-1.69
23	Arizona 10	P10	19-15	19.14	116.4	97.3	63.5	-0.079	12.72	110.3	97.6	8.75
24	Notre Dame 5	BE	25-8	19.07	114.6	95.6	69.5	0.042	6.88	107.5	100.6	-7.02
25	Gonzaga 7	WCC	25-8	19.05	114.5	95.5	65.9	-0.029	2.57	104	101.5	7.71
26	Kansas St. 11	B12	21-12	18.9	114.2	95.3	69.7	-0.049	9.09	108	98.9	-2.73
27	Connecticut 4	BE	24-9	18.9	115.2	96.3	67.1	-0.001	7.67	107.7	100	-1.27
28	USC 6	P10	21-12	18.67	110.5	91.9	65.2	-0.005	11.18	109.7	98.5	0.4
29	Indiana 8	B10	25-8	18.43	114.6	96.1	66.2	0.037	6.28	106.6	100.3	-2.3
30	Purdue 6	B10	25-9	18.3	110.5	92.2	66.9	-0.025	6.41	106.2	99.7	-3.61
31	Ohio St. 1	B10	24-13	17.79	110.2	92.4	64	-0.027	8.35	108.6	100.3	4.38
32	New Mexico 5	MWC	24-9	17.08	111.1	94	64.4	-0.046	1.13	104	102.9	-3.87
33	Mississippi St. 8	SEC	23-11	16.77	108.2	91.5	66.6	-0.043	6.22	108.1	101.8	-1.48
34	Virginia Tech 1	ACC	21-14	16.29	107.1	90.8	65.8	-0.048	7.41	107.9	100.5	-0.09
35	BYU 8	MWC	27-8	15.76	107.4	91.7	67.8	0.027	1.47	104.2	102.7	-4.23
36	Oregon 9	P10	18-14	15.66	118.8	103.1	65.8	-0.035	10.56	108.9	98.4	0.11
37	Miami FL 7	ACC	23-11	15.38	112.5	97.1	65.8	-0.003	7.78	106.7	98.9	-5.55
38	Florida 2	SEC	24-12	15.37	115.9	100.5	65	-0.042	3.13	105.1	102	-9.31
39	Nebraska 3	B12	20-13	15.31	108	92.7	61.6	-0.042	6.19	106.4	100.2	-12.71
40	Arkansas 9	SEC	23-12	15.19	111.4	96.2	66.5	0.008	7.19	108.4	101.2	-0.61
41	Baylor 11	B12	21-11	14.82	115.7	100.9	70.1	-0.028	7.58	106.9	99.3	-4.83
42	Saint Mary's 10	WCC	25-7	14.66	109.2	94.6	66.4	0.03	0.11	103.4	103.3	2.34
43	Western Kentucky 12	SB	29-7	14.6	111.9	97.3	68.2	-0.021	-0.85	103.3	104.2	1.69
44	Oklahoma 6	B12	23-12	14.47	109.5	95.1	63.1	0.077	9.45	108.3	98.9	-0.55
