,,,,,,,,,Strength of Schedule,,,NCSOS
Rk,,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
1,Virginia,ACC,35-3,34.22,123.4,89.2,59.4,0.05,11.18,109.2,98.1,-3.24
2,Gonzaga,WCC,33-4,32.85,124.5,91.6,70.2,-0.001,4.46,106.9,102.5,1.87
3,Michigan St.,B10,32-7,30.81,121,90.2,66.9,0.001,13.67,110.6,96.9,3.24
4,Duke,ACC,32-6,30.62,120,89.3,72.1,0.018,12.85,110.7,97.8,5.08
5,Texas Tech,B12,31-7,30.03,114.1,84.1,66.6,0.004,11.18,109.8,98.7,-5.39
6,Michigan,B10,30-7,28.32,114.5,86.2,64.8,-0.001,11.27,109.2,98,-5.42
7,North Carolina,ACC,29-7,27.69,119.7,92,74.3,0.024,12.6,110.7,98.1,5.69
8,Kentucky,SEC,30-7,27.57,117.6,90.1,65.6,0.033,11.32,110.7,99.4,1.75
9,Purdue,B10,26-10,26.81,122.5,95.6,65.9,-0.015,13.16,110.3,97.1,4.09
10,Tennessee,SEC,31-6,26.24,122.7,96.5,67.8,0.034,10.69,109.7,99,0.92
11,Auburn,SEC,30-10,25,120.9,95.9,67.9,0.008,12.23,110.7,98.5,2.63
12,Houston,Amer,33-4,24.13,115.3,91.2,66.1,0.039,4.45,105.7,101.3,-4.16
13,Virginia Tech,ACC,26-9,24.07,118.1,94,63.7,-0.005,8.47,108.3,99.9,-6.26
14,Florida St.,ACC,29-8,22.39,112.8,90.4,68.6,0.046,10.46,109.8,99.3,0.93
15,Iowa St.,B12,23-12,22.09,118.9,96.8,67.7,-0.063,10.78,109.3,98.5,-1.56
16,Wisconsin,B10,23-11,21.94,110.4,88.5,63.9,-0.018,12.97,110.3,97.3,3.14
17,Kansas,B12,26-10,21.57,113.9,92.3,70.1,0.076,14.13,111.8,97.7,10.36
18,Wofford,SC,30-5,20.69,118.1,97.4,65.7,0.046,1.82,106,104.2,8.37
19,LSU,SEC,28-7,20.22,117.7,97.5,70,0.063,10.02,109.3,99.3,2.77
20,Kansas St.,B12,25-9,20.06,108.4,88.4,63.4,0.049,10.22,109.3,99.1,-0.96
21,Mississippi St.,SEC,23-11,20.04,117.7,97.6,67.8,-0.038,10.09,110.1,100,2.22
22,Buffalo,MAC,32-4,19.85,115.2,95.4,73.6,0.056,3.14,105.5,102.4,1.15
23,Louisville,ACC,20-14,19.35,113.7,94.4,67.2,-0.06,11.95,110.4,98.4,5.36
24,Maryland,B10,23-11,19.29,113.4,94.1,66,-0.004,10.75,109.8,99.1,-4.92
25,Texas,B12,21-16,19.11,113.5,94.4,64.7,-0.08,11.96,110.3,98.3,4.98
26,Florida,SEC,20-16,18.3,110.5,92.2,62.9,-0.063,12,110.7,98.7,5.12
27,Nevada,MWC,29-5,18.18,114,95.9,69.3,0.033,1.42,105.4,103.9,1.79
28,Oregon,P12,25-13,17.86,109.5,91.7,64.2,-0.048,5.47,107.7,102.3,0.43
29,Cincinnati,Amer,28-7,17.5,112.3,94.8,63.4,0.05,5.12,107.1,102,-2.85
30,Villanova,BE,26-10,17.33,116.5,99.2,63.6,0.044,8,108.8,100.8,3.32
31,Saint Mary's,WCC,22-12,17.31,114.7,97.4,62.7,-0.045,3.66,106.6,103,-0.9
32,Oklahoma,B12,20-14,16.94,111.1,94.1,68.6,0.023,13.27,110.3,97.1,7.44
33,Marquette,BE,24-10,16.52,113.2,96.7,68.8,0.01,6.77,107.4,100.7,0.29
34,UCF,Amer,24-9,16.51,112.1,95.6,65,0.011,4.99,105.9,100.9,-3.71
35,Baylor,B12,20-14,16.48,115.3,98.8,65.2,-0.029,10.49,108.8,98.3,-4.04
36,Clemson,ACC,20-14,16.14,108,91.8,66.2,-0.066,8.49,108.2,99.7,0.82
37,Iowa,B10,23-12,16.02,117.4,101.3,69.5,0.05,10.64,108.9,98.3,-6.49
38,Utah St.,MWC,28-7,15.41,112.6,97.2,68.1,0.012,0.02,104.5,104.4,0.81
39,Syracuse,ACC,20-14,15.13,110.5,95.3,66.1,-0.004,9.4,108.6,99.2,0.17
40,TCU,B12,23-14,15.04,110.3,95.2,68.9,0.02,9.66,109.1,99.5,-0.99
41,N.C. State,ACC,24-12,14.98,113.1,98.1,71,-0.004,5.84,106.8,101,-12.35
42,VCU,A10,25-8,14.89,104.3,89.5,68.4,0.007,1.37,105.2,103.8,3.6
43,Penn St.,B10,14-18,14.89,109.4,94.5,67.6,-0.102,12.43,110.2,97.7,4.05
44,Ohio St.,B10,20-15,14.66,109.1,94.4,65.8,0.013,11.68,110.4,98.8,-2.95
45,Lipscomb,ASun,29-8,14.55,111.7,97.2,73.3,-0.013,0.08,103.9,103.8,6.56
46,Minnesota,B10,22-14,14.35,111.4,97,67.4,0.086,12.18,110.2,98,-2.91
47,Nebraska,B10,19-17,14.35,113.5,99.1,66.4,-0.046,12.55,109.7,97.2,-0.17
48,Washington,P12,27-9,14.28,107.7,93.5,66,0.088,6.06,107.6,101.5,2.73
49,Belmont,OVC,27-6,14.09,115.6,101.5,71.3,0.025,-1.98,103.6,105.6,3.78
50,Mississippi,SEC,20-13,13.98,113.2,99.2,68.5,-0.007,8.69,109.1,100.4,-1.11
51,Murray St.,OVC,28-5,13.83,112.5,98.6,69.4,0.054,-3.32,103.1,106.4,-1.13
52,Indiana,B10,19-16,13.73,109.1,95.4,66.9,-0.034,10.62,109.4,98.8,-1.57
53,New Mexico St.,WAC,30-5,13.62,113,99.3,65.9,0.042,-3.44,102.8,106.2,-3.22
54,Arkansas,SEC,18-16,12.92,110.1,97.2,70.4,-0.048,8.48,108.2,99.7,0.09
55,Creighton,BE,20-15,12.67,112,99.3,68.7,-0.034,8.07,109,100.9,5.14
56,Memphis,Amer,22-14,11.78,109.2,97.4,74.2,-0.032,4.41,106,101.6,0.01
57,Arizona St.,P12,23-11,11.55,109.7,98.2,70.8,0.051,5.56,107.3,101.7,1.55
58,Liberty,ASun,29-7,11.54,111.1,99.6,62.3,0.009,-3.27,102.5,105.8,-3.2
59,Furman,SC,25-8,11.52,108.9,97.4,66.6,0.016,-1.18,105.2,106.4,-2.58
60,Seton Hall,BE,20-14,11.5,109,97.5,69.1,0.023,8.54,109.2,100.7,3.58
61,Toledo,MAC,25-8,11.29,109.8,98.5,67.8,0.044,0.7,104.9,104.2,-4.05
62,Dayton,A10,21-12,11.27,112.1,100.8,64.7,-0.047,1.24,104.4,103.1,1.49
63,Colorado,P12,23-13,10.75,106.8,96.1,68.1,-0.028,2.29,106,103.7,-4.96
64,Alabama,SEC,18-16,10.68,108.2,97.5,68.7,0.024,10.1,109.7,99.6,3.89
