,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,Strength of Schedule,,,NCSOS
,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
,1,Gonzaga 1,WCC,31-1,36.48,126.4,89.9,73.8,0.022,11.35,108.1,96.8,6.21
,2,Baylor 1,B12,28-2,33.87,125,91.1,67.4,0.046,13.25,108.7,95.5,-2.83
,3,Michigan 1,B10,23-5,29.67,117.6,87.9,66.6,0.007,16.44,111.7,95.3,2.51
,4,Illinois 1,B10,24-7,29.06,118,88.9,70.5,0.022,18.17,112.3,94.1,10.44
,5,Houston 2,Amer,28-4,28.75,118.3,89.6,64.4,0.018,9.21,105.7,96.5,2.11
,6,USC 6,P12,25-8,27.58,115.7,88.1,67,0.001,16.27,111.1,94.8,6.28
,7,Iowa 2,B10,22-9,26.87,123.5,96.7,69.9,-0.027,16.41,110.4,94,-4.9
,8,Colorado 5,P12,23-9,25.1,116.3,91.2,66.1,-0.025,15.43,110.3,94.9,3.82
,9,Alabama 2,SEC,26-7,25.09,112.9,87.8,73.3,0.02,14.8,110.1,95.3,9.45
,10,Loyola Chicago 8,MVC,26-5,24.32,111.3,87,63.7,-0.024,6.27,105.6,99.4,4.81
,11,Ohio St. 2,B10,21-10,23.58,120.7,97.1,66.7,-0.012,17.9,111.6,93.7,3.47
,12,Villanova 5,BE,18-7,23.02,119,96,64.2,-0.007,13.66,109.3,95.7,8.12
,13,UCLA 11,P12,22-10,22.43,116.9,94.5,63.8,0.028,17.38,111.3,93.9,9.87
,14,Wisconsin 9,B10,18-13,22.4,113,90.6,64.6,-0.052,18.13,112.1,93.9,1.24
,15,Florida St. 4,ACC,18-7,22.12,114.9,92.8,69.9,0.002,13.48,109.5,96,4.42
,16,Oregon 7,P12,21-7,21.85,117.2,95.4,67.2,0.049,15.2,110.6,95.4,3.72
,17,Texas Tech 6,B12,18-11,21.81,112.7,90.9,65.1,-0.099,12.84,108.5,95.7,-4.88
